sr_type,service_label,committed_days,stable_commitment,year_month,year,month_number,intake,duplicates,evaluable,on_time,open_overdue,median_days_to_close
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-06,2025,6,201.0,0.0,201.0,200.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-07,2025,7,214.0,0.0,214.0,213.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-08,2025,8,186.0,0.0,186.0,59.0,0.0,30.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-09,2025,9,130.0,0.0,130.0,107.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-10,2025,10,111.0,0.0,111.0,110.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-11,2025,11,65.0,0.0,65.0,64.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2025-12,2025,12,105.0,0.0,105.0,105.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-01,2026,1,113.0,0.0,113.0,113.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-02,2026,2,121.0,2.0,119.0,119.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-03,2026,3,139.0,0.0,139.0,139.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-04,2026,4,175.0,1.0,174.0,173.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-05,2026,5,143.0,0.0,143.0,143.0,0.0,6.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-06,2026,6,161.0,0.0,161.0,160.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-07,2026,7,230.0,1.0,229.0,229.0,0.0,7.0
REPAIR96,"RECYCLING, REPAIR/REPLACE 96",17,False,2026-08,2026,8,157.0,0.0,157.0,156.0,1.0,7.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-01,2023,1,506.0,22.0,484.0,425.0,0.0,3.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-02,2023,2,429.0,17.0,412.0,325.0,0.0,3.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-03,2023,3,415.0,7.0,408.0,371.0,0.0,4.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-04,2023,4,372.0,7.0,365.0,346.0,0.0,2.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-05,2023,5,374.0,3.0,371.0,352.0,0.0,2.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-06,2023,6,474.0,4.0,470.0,404.0,0.0,4.0
RF-COLLT,"TRASH, REQUEST FOR COLLECTION",1,False,2023-07,2023,7,433.0,9.0,424.0,326.0,0.0,4.0
